,City,Country,Lat,Lng,Hotel Name
99,Rivière-du-Loup,CA,47.83,-69.53,Hôtel Universel
100,Saint Paul Harbor,US,57.79,-152.41,Shelikof Lodge
101,Laas,IT,46.62,10.7,Untertelshof
102,Khandyga,RU,62.67,135.6,"Gostinitsa ""Kak Doma"""
103,Bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
104,Tocopilla,CL,-22.09,-70.2,Hotel Royal Tocopilla
105,Sistranda,NO,63.73,8.83,Hotell Frøya
106,Northam,GB,51.03,-4.22,Instow Barton
107,San Cristobal,VE,7.77,-72.22,Lidotel Hotel Boutique San Cristobal
108,Codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
109,Tessalit,ML,20.2,1.01,
110,Berlevåg,NO,70.86,29.09,Berlevåg camping & Appartement AS
111,Monte Alegre,BR,-2.01,-54.07,Hotel & Restaurante Panorama
112,Garden City,US,42.33,-83.33,"Country Inn & Suites by Radisson, Dearborn, MI"
113,Fremont,US,37.55,-121.99,Holiday Inn Express & Suites Fremont - Milpitas Central
114,Wanning,CN,18.8,110.4,Jiajie Boutique Hotel
115,Te Anau,NZ,-45.42,167.72,Lakefront Lodge
116,Puerto Ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
117,Chaplygin,RU,53.24,39.96,"Staryy Ranenburg"""
118,Grand Gaube,MU,-20.01,57.66,Adenia Villa
119,Qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
120,Kapoeta,SS,4.77,33.59,EASTGATE Hotel
121,Mount Gambier,AU,-37.83,140.77,The Old Mount Gambier Gaol
122,Kompaniyivka,UA,48.25,32.21,
123,Nemuro,JP,43.32,145.57,Hotel Nemuro Kaiyoutei
124,Ishigaki,JP,24.34,124.16,InterContinental - ANA Ishigaki Resort
125,Hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
126,Genhe,CN,50.78,121.52,Blueberry Town Theme Hotel
127,Ures,MX,29.43,-110.4,Hacienda del Labrador
128,Port Blair,IN,11.67,92.75,SeaShell Port Blair
